cbi,ccode,date,adv,mp,mps,yield10y_2day,yield2y_2day,tp10y_2day,tp2y_2day,ex_rate_regime,us_integ,kaopen,vuln_index,trade_open,fin_depth,dollar_exp,dollar_debt,mpu_level,mpu,us_yield,vix
-0.0053,44,13735,1,0.005,-2.999999999999999e-4,-0.01830534625821111,-2.1292337079939543,0.9530279229019515,-0.2245317730448885,1,5.43693,2.36,NA,111.311,157.07,310.0304,127.4531,0.1598660267647054,0.46162668,4.974,26.48
0.0399,44,13742,1,-0.0452,-0.005299999999999999,-0.8603512741359222,-0.6387701123981863,-0.7398247428620581,-0.4233650333153308,1,5.43693,2.36,NA,111.311,157.07,310.0304,127.4531,0.3831887267647054,-1.1484333,4.895,30.83
-0.0045,44,13774,1,-0.1259,-0.13040000000000002,2.7824139126223266,0.22813175715261064,1.696610590513491,1.1224280877182415,1,5.43693,2.36,NA,111.311,157.07,310.0304,127.4531,0.1509326267647053,-1.9224236,4.662,26.48
-0.0248,44,13817,1,0.041,0.016200000000000003,-1.1349294544210005,-0.3041770348573707,0.05759309990448004,0.205749332822495,1,5.43693,2.36,NA,111.311,157.07,310.0304,127.4531,0.12303882676470534,-0.19998844,4.665,21.07
-0.0655,44,13858,1,0.0091,-0.056400000000000006,-0.03660929581850272,1.4504253328625274e-6,-0.13094449186330018,-0.3605258473104969,1,5.43693,2.36,NA,111.311,157.07,310.0304,127.4531,0.2549281267647052,-0.6969799,4.22,20.74
-0.1359,44,13900,1,-0.1921,-0.32799999999999996,-0.3661069251642222,-1.2471226003964588,0.6525701931441399,-0.10150262879783886,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.2057205267647053,0.2127635,3.719,27.18
-0.0214,44,13908,1,-0.0756,-0.097,-1.2264600298347703,-0.0456278859996731,-0.863918861761245,0.2059343207261065,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.28081972676470524,-0.8400362,3.99,27.32
0.0882,44,13949,1,-0.0362,0.052,-0.677297811553811,0.3954291171988772,-0.03711373572140064,0.9126826973232001,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.40826662676470526,-1.0037086,3.996,29.38
0.0813,44,13956,1,0.0388,0.1201,-1.3362917412771116,-0.18250592890522815,-0.6895303685954751,-0.2528114655803651,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.36268992676470524,-2.6454797,3.947,32.24
0.0012,44,13999,1,-0.0541,-0.0529,-0.29288737066600357,-0.5931439799745598,0.41110762549356306,0.30224391593391703,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.2906643267647053,-1.7021317,3.97799999999999,20.24
-0.1358,44,14055,1,-0.0137,-0.1495,-0.9152673861319405,-0.8212751439834947,-0.30304422983262935,-0.25014986652300625,1,5.38145,2.36,NA,114.779,149.262,222.76743,81.39403,0.5646873267647052,-0.111549854,4.289,22.42
